TABLE,PROPERTY,COUNT,PERCENT
1,Go,36,3.60
1,Meditaranean Avenue,23,2.30
1,Community Chest #1,22,2.20
1,Baltic Avenue,25,2.50
1,Income Tax,34,3.40
1,Reading Railroad,42,4.20
1,Oriental Avenue,28,2.80
1,Chance #1,7,0.70
1,Vermont Avenue,30,3.00
1,Connecticut Avenue,33,3.30
1,Jail,173,17.30
1,St. Charles Place,23,2.30
1,Electric Company,29,2.90
1,States Avenue,38,3.80
1,Virginia Avenue,23,2.30
1,Pennsylvania Railroad,20,2.00
1,St. James Place,37,3.70
1,Community Chest #2,39,3.90
1,Tennessee Avenue,36,3.60
1,New York Avenue,37,3.70
1,Free Parking,37,3.70
1,Kentucky Avenue,25,2.50
1,Chance #2,15,1.50
1,Indiana Avenue,37,3.70
1,Illinois Avenue,37,3.70
1,B. & O. Railroad,34,3.40
1,Atlantic Avenue,34,3.40
1,Ventnor Avenue,26,2.60
1,Water Works,41,4.10
1,Marvin Gardens,25,2.50
1,Go To Jail,25,2.50
1,Pacific Avenue,35,3.50
1,North Carolina Avenue,34,3.40
1,Community Chest #3,31,3.10
1,Pennsylvania Avenue,28,2.80
1,Short Line Railroad,42,4.20
1,Chance #3,13,1.30
1,Park Place,29,2.90
1,Luxury Tax,27,2.70
1,Boardwalk,30,3.00
2,Go,31,3.10
2,Meditaranean Avenue,25,2.50
2,Community Chest #1,31,3.10
2,Baltic Avenue,30,3.00
2,Income Tax,34,3.40
2,Reading Railroad,40,4.00
2,Oriental Avenue,26,2.60
2,Chance #1,7,0.70
2,Vermont Avenue,26,2.60
2,Connecticut Avenue,28,2.80
2,Jail,156,15.60
2,St. Charles Place,38,3.80
2,Electric Company,28,2.80
2,States Avenue,28,2.80
2,Virginia Avenue,31,3.10
2,Pennsylvania Railroad,29,2.90
2,St. James Place,27,2.70
2,Community Chest #2,37,3.70
2,Tennessee Avenue,37,3.70
2,New York Avenue,25,2.50
2,Free Parking,37,3.70
2,Kentucky Avenue,36,3.60
2,Chance #2,14,1.40
2,Indiana Avenue,33,3.30
2,Illinois Avenue,30,3.00
2,B. & O. Railroad,27,2.70
2,Atlantic Avenue,34,3.40
2,Ventnor Avenue,30,3.00
2,Water Works,49,4.90
2,Marvin Gardens,28,2.80
2,Go To Jail,24,2.40
2,Pacific Avenue,28,2.80
2,North Carolina Avenue,31,3.10
2,Community Chest #3,31,3.10
2,Pennsylvania Avenue,28,2.80
2,Short Line Railroad,51,5.10
2,Chance #3,16,1.60
2,Park Place,28,2.80
2,Luxury Tax,30,3.00
2,Boardwalk,33,3.30
3,Go,37,3.70
3,Meditaranean Avenue,25,2.50
3,Community Chest #1,25,2.50
3,Baltic Avenue,25,2.50
3,Income Tax,32,3.20
3,Reading Railroad,31,3.10
3,Oriental Avenue,29,2.90
3,Chance #1,12,1.20
3,Vermont Avenue,26,2.60
3,Connecticut Avenue,23,2.30
3,Jail,201,20.10
