TABLE,PROPERTY,COUNT,PERCENT
5,Baltic Avenue,2665,2.67
5,Income Tax,2879,2.88
5,Reading Railroad,3812,3.81
5,Oriental Avenue,2656,2.66
5,Chance #1,1213,1.21
5,Vermont Avenue,2650,2.65
5,Connecticut Avenue,2776,2.78
5,Jail,18646,18.65
5,St. Charles Place,2723,2.72
5,Electric Company,2815,2.81
5,States Avenue,2777,2.78
5,Virginia Avenue,2956,2.96
5,Pennsylvania Railroad,2898,2.90
5,St. James Place,3236,3.24
5,Community Chest #2,3408,3.41
5,Tennessee Avenue,3263,3.26
5,New York Avenue,3667,3.67
5,Free Parking,3293,3.29
5,Kentucky Avenue,3197,3.20
5,Chance #2,1446,1.45
5,Indiana Avenue,3123,3.12
5,Illinois Avenue,4207,4.21
5,B. & O. Railroad,3079,3.08
5,Atlantic Avenue,3022,3.02
5,Ventnor Avenue,3057,3.06
5,Water Works,3996,4.00
5,Marvin Gardens,3046,3.05
5,Go To Jail,3004,3.00
5,Pacific Avenue,3039,3.04
5,North Carolina Avenue,2862,2.86
5,Community Chest #3,2846,2.85
5,Pennsylvania Avenue,2708,2.71
5,Short Line Railroad,4990,4.99
5,Chance #3,1164,1.16
5,Park Place,2667,2.67
5,Luxury Tax,2425,2.43
5,Boardwalk,3681,3.68
6,Go,3943,3.94
6,Meditaranean Avenue,2618,2.62
6,Community Chest #1,2625,2.63
6,Baltic Avenue,2663,2.66
6,Income Tax,2869,2.87
6,Reading Railroad,3789,3.79
6,Oriental Avenue,2712,2.71
6,Chance #1,1242,1.24
6,Vermont Avenue,2683,2.68
6,Connecticut Avenue,2737,2.74
6,Jail,18959,18.96
6,St. Charles Place,2664,2.66
6,Electric Company,2789,2.79
6,States Avenue,2760,2.76
6,Virginia Avenue,2943,2.94
6,Pennsylvania Railroad,3007,3.01
6,St. James Place,3249,3.25
6,Community Chest #2,3247,3.25
6,Tennessee Avenue,3284,3.28
6,New York Avenue,3667,3.67
6,Free Parking,3310,3.31
6,Kentucky Avenue,3202,3.20
6,Chance #2,1413,1.41
6,Indiana Avenue,3104,3.10
6,Illinois Avenue,4111,4.11
6,B. & O. Railroad,3104,3.10
6,Atlantic Avenue,2942,2.94
6,Ventnor Avenue,3063,3.06
6,Water Works,4054,4.05
6,Marvin Gardens,3051,3.05
6,Go To Jail,3024,3.02
6,Pacific Avenue,3123,3.12
6,North Carolina Avenue,2837,2.84
6,Community Chest #3,2846,2.85
6,Pennsylvania Avenue,2737,2.74
6,Short Line Railroad,5011,5.01
6,Chance #3,1112,1.11
6,Park Place,2664,2.66
6,Luxury Tax,2548,2.55
6,Boardwalk,3678,3.68
7,Go,3997,4.00
7,Meditaranean Avenue,2665,2.67
7,Community Chest #1,2574,2.57
7,Baltic Avenue,2684,2.68
7,Income Tax,2928,2.93
7,Reading Railroad,3818,3.82
7,Oriental Avenue,2625,2.63
7,Chance #1,1183,1.18
7,Vermont Avenue,2789,2.79
7,Connecticut Avenue,2671,2.67
7,Jail,18901,18.90
7,St. Charles Place,2668,2.67
7,Electric Company,2827,2.83
7,States Avenue,2745,2.74
7,Virginia Avenue,2985,2.99
7,Pennsylvania Railroad,2932,2.93
7,St. James Place,3213,3.21
7,Community Chest #2,3289,3.29
7,Tennessee Avenue,3273,3.27
7,New York Avenue,3701,3.70
7,Free Parking,3276,3.28
7,Kentucky Avenue,3237,3.24
7,Chance #2,1451,1.45
7,Indiana Avenue,3073,3.07
7,Illinois Avenue,4142,4.14
7,B. & O. Railroad,3164,3.16
7,Atlantic Avenue,3009,3.01
7,Ventnor Avenue,3088,3.09
7,Water Works,4076,4.08
7,Marvin Gardens,2864,2.86
7,Go To Jail,3013,3.01
7,Pacific Avenue,2932,2.93
7,North Carolina Avenue,2926,2.93
7,Community Chest #3,2839,2.84
7,Pennsylvania Avenue,2817,2.82
7,Short Line Railroad,4945,4.95
7,Chance #3,1141,1.14
7,Park Place,2534,2.53
7,Luxury Tax,2532,2.53
7,Boardwalk,3706,3.71
8,Go,3955,3.96
8,Meditaranean Avenue,2630,2.63
8,Community Chest #1,2567,2.57
8,Baltic Avenue,2803,2.80
8,Income Tax,2882,2.88
8,Reading Railroad,3799,3.80
8,Oriental Avenue,2600,2.60
8,Chance #1,1262,1.26
8,Vermont Avenue,2711,2.71
8,Connecticut Avenue,2708,2.71
8,Jail,18948,18.95
8,St. Charles Place,2582,2.58
8,Electric Company,2914,2.91
8,States Avenue,2819,2.82
8,Virginia Avenue,2940,2.94
8,Pennsylvania Railroad,3039,3.04
8,St. James Place,3227,3.23
8,Community Chest #2,3322,3.32
8,Tennessee Avenue,3302,3.30
8,New York Avenue,3588,3.59
8,Free Parking,3345,3.35
8,Kentucky Avenue,3138,3.14
8,Chance #2,1407,1.41
8,Indiana Avenue,3072,3.07
8,Illinois Avenue,4284,4.28
8,B. & O. Railroad,3078,3.08
8,Atlantic Avenue,3037,3.04
8,Ventnor Avenue,3046,3.05
8,Water Works,4059,4.06
8,Marvin Gardens,2967,2.97
8,Go To Jail,3016,3.02
8,Pacific Avenue,3131,3.13
8,North Carolina Avenue,2820,2.82
8,Community Chest #3,2815,2.81
8,Pennsylvania Avenue,2761,2.76
8,Short Line Railroad,4972,4.97
8,Chance #3,1123,1.12
8,Park Place,2657,2.66
8,Luxury Tax,2473,2.47
8,Boardwalk,3684,3.68
9,Go,3959,3.96
9,Meditaranean Avenue,2677,2.68
9,Community Chest #1,2558,2.56
9,Baltic Avenue,2713,2.71
9,Income Tax,2935,2.94
9,Reading Railroad,3840,3.84
9,Oriental Avenue,2719,2.72
9,Chance #1,1186,1.19
9,Vermont Avenue,2702,2.70
9,Connecticut Avenue,2669,2.67
9,Jail,18998,19.00
9,St. Charles Place,2602,2.60
9,Electric Company,2964,2.96
9,States Avenue,2730,2.73
9,Virginia Avenue,2940,2.94
9,Pennsylvania Railroad,2922,2.92
9,St. James Place,3332,3.33
9,Community Chest #2,3207,3.21
9,Tennessee Avenue,3349,3.35
9,New York Avenue,3562,3.56
9,Free Parking,3357,3.36
9,Kentucky Avenue,3110,3.11
9,Chance #2,1472,1.47
9,Indiana Avenue,3063,3.06
9,Illinois Avenue,4156,4.16
9,B. & O. Railroad,3077,3.08
9,Atlantic Avenue,3079,3.08
9,Ventnor Avenue,3049,3.05
9,Water Works,4177,4.18
9,Marvin Gardens,2940,2.94
9,Go To Jail,3000,3.00
9,Pacific Avenue,3034,3.03
9,North Carolina Avenue,2821,2.82
9,Community Chest #3,2851,2.85
9,Pennsylvania Avenue,2811,2.81
9,Short Line Railroad,5006,5.01
9,Chance #3,1161,1.16
9,Park Place,2608,2.61
9,Luxury Tax,2473,2.47
9,Boardwalk,3695,3.69
10,Go,3991,3.99
10,Meditaranean Avenue,2666,2.67
10,Community Chest #1,2496,2.50
10,Baltic Avenue,2710,2.71
10,Income Tax,3005,3.00
10,Reading Railroad,3893,3.89
10,Oriental Avenue,2587,2.59
10,Chance #1,1206,1.21
10,Vermont Avenue,2771,2.77
10,Connecticut Avenue,2716,2.72
10,Jail,18509,18.51
10,St. Charles Place,2684,2.68
10,Electric Company,2937,2.94
10,States Avenue,2727,2.73
10,Virginia Avenue,2922,2.92
10,Pennsylvania Railroad,2938,2.94
10,St. James Place,3176,3.18
10,Community Chest #2,3326,3.33
10,Tennessee Avenue,3432,3.43
10,New York Avenue,3614,3.61
10,Free Parking,3297,3.30
10,Kentucky Avenue,3141,3.14
10,Chance #2,1461,1.46
10,Indiana Avenue,3052,3.05
10,Illinois Avenue,4225,4.23
10,B. & O. Railroad,3002,3.00
10,Atlantic Avenue,3233,3.23
10,Ventnor Avenue,3151,3.15
10,Water Works,4108,4.11
10,Marvin Gardens,2927,2.93
10,Go To Jail,2924,2.92
10,Pacific Avenue,3052,3.05
10,North Carolina Avenue,2826,2.83
10,Community Chest #3,2898,2.90
10,Pennsylvania Avenue,2789,2.79
10,Short Line Railroad,5050,5.05
10,Chance #3,1193,1.19
10,Park Place,2612,2.61
10,Luxury Tax,2509,2.51
10,Boardwalk,3668,3.67
