TABLE,PROPERTY,COUNT,PERCENT
1,Go,385,3.85
1,Meditaranean Avenue,257,2.57
1,Community Chest #1,235,2.35
1,Baltic Avenue,272,2.72
1,Income Tax,288,2.88
1,Reading Railroad,382,3.82
1,Oriental Avenue,259,2.59
1,Chance #1,133,1.33
1,Vermont Avenue,253,2.53
1,Connecticut Avenue,278,2.78
1,Jail,1900,19.00
1,St. Charles Place,273,2.73
1,Electric Company,264,2.64
1,States Avenue,286,2.86
1,Virginia Avenue,304,3.04
1,Pennsylvania Railroad,311,3.11
1,St. James Place,321,3.21
1,Community Chest #2,327,3.27
1,Tennessee Avenue,326,3.26
1,New York Avenue,348,3.48
1,Free Parking,333,3.33
1,Kentucky Avenue,310,3.10
1,Chance #2,146,1.46
1,Indiana Avenue,313,3.13
1,Illinois Avenue,413,4.13
1,B. & O. Railroad,304,3.04
1,Atlantic Avenue,321,3.21
1,Ventnor Avenue,308,3.08
1,Water Works,411,4.11
1,Marvin Gardens,265,2.65
1,Go To Jail,311,3.11
1,Pacific Avenue,299,2.99
1,North Carolina Avenue,290,2.90
1,Community Chest #3,281,2.81
1,Pennsylvania Avenue,257,2.57
1,Short Line Railroad,510,5.10
1,Chance #3,103,1.03
1,Park Place,262,2.62
1,Luxury Tax,233,2.33
1,Boardwalk,404,4.04
2,Go,365,3.65
2,Meditaranean Avenue,246,2.46
2,Community Chest #1,255,2.55
2,Baltic Avenue,266,2.66
2,Income Tax,287,2.87
2,Reading Railroad,369,3.69
2,Oriental Avenue,277,2.77
2,Chance #1,111,1.11
2,Vermont Avenue,271,2.71
2,Connecticut Avenue,256,2.56
2,Jail,1920,19.20
2,St. Charles Place,265,2.65
2,Electric Company,278,2.78
2,States Avenue,290,2.90
2,Virginia Avenue,328,3.28
2,Pennsylvania Railroad,280,2.80
2,St. James Place,293,2.93
2,Community Chest #2,294,2.94
2,Tennessee Avenue,332,3.32
2,New York Avenue,350,3.50
2,Free Parking,378,3.78
2,Kentucky Avenue,310,3.10
2,Chance #2,146,1.46
2,Indiana Avenue,324,3.24
2,Illinois Avenue,415,4.15
2,B. & O. Railroad,317,3.17
2,Atlantic Avenue,328,3.28
2,Ventnor Avenue,305,3.05
2,Water Works,392,3.92
2,Marvin Gardens,315,3.15
2,Go To Jail,314,3.14
2,Pacific Avenue,290,2.90
2,North Carolina Avenue,306,3.06
2,Community Chest #3,290,2.90
2,Pennsylvania Avenue,262,2.62
2,Short Line Railroad,472,4.72
2,Chance #3,108,1.08
2,Park Place,269,2.69
2,Luxury Tax,253,2.53
2,Boardwalk,403,4.03
3,Go,405,4.05
3,Meditaranean Avenue,268,2.68
3,Community Chest #1,259,2.59
3,Baltic Avenue,251,2.51
3,Income Tax,338,3.38
3,Reading Railroad,350,3.50
3,Oriental Avenue,272,2.72
3,Chance #1,135,1.35
3,Vermont Avenue,266,2.66
3,Connecticut Avenue,279,2.79
3,Jail,1831,18.31
3,St. Charles Place,247,2.47
3,Electric Company,314,3.14
3,States Avenue,241,2.41
3,Virginia Avenue,310,3.10
3,Pennsylvania Railroad,293,2.93
3,St. James Place,306,3.06
3,Community Chest #2,336,3.36
3,Tennessee Avenue,338,3.38
3,New York Avenue,342,3.42
3,Free Parking,311,3.11
3,Kentucky Avenue,315,3.15
3,Chance #2,160,1.60
3,Indiana Avenue,321,3.21
3,Illinois Avenue,422,4.22
3,B. & O. Railroad,305,3.05
3,Atlantic Avenue,283,2.83
3,Ventnor Avenue,319,3.19
3,Water Works,398,3.98
3,Marvin Gardens,305,3.05
3,Go To Jail,282,2.82
3,Pacific Avenue,318,3.18
3,North Carolina Avenue,267,2.67
3,Community Chest #3,283,2.83
3,Pennsylvania Avenue,284,2.84
3,Short Line Railroad,498,4.98
3,Chance #3,112,1.12
3,Park Place,275,2.75
3,Luxury Tax,221,2.21
3,Boardwalk,383,3.83
4,Go,395,3.95
4,Meditaranean Avenue,276,2.76
4,Community Chest #1,243,2.43
4,Baltic Avenue,279,2.79
4,Income Tax,312,3.12
4,Reading Railroad,355,3.55
4,Oriental Avenue,273,2.73
4,Chance #1,122,1.22
4,Vermont Avenue,253,2.53
4,Connecticut Avenue,278,2.78
4,Jail,1861,18.61
4,St. Charles Place,258,2.58
4,Electric Company,326,3.26
4,States Avenue,277,2.77
4,Virginia Avenue,311,3.11
4,Pennsylvania Railroad,281,2.81
4,St. James Place,325,3.25
4,Community Chest #2,293,2.93
4,Tennessee Avenue,324,3.24
4,New York Avenue,382,3.82
4,Free Parking,330,3.30
4,Kentucky Avenue,294,2.94
4,Chance #2,145,1.45
4,Indiana Avenue,312,3.12
4,Illinois Avenue,435,4.35
4,B. & O. Railroad,288,2.88
4,Atlantic Avenue,296,2.96
4,Ventnor Avenue,299,2.99
4,Water Works,423,4.23
4,Marvin Gardens,279,2.79
4,Go To Jail,298,2.98
4,Pacific Avenue,311,3.11
4,North Carolina Avenue,286,2.86
4,Community Chest #3,293,2.93
4,Pennsylvania Avenue,289,2.89
4,Short Line Railroad,493,4.93
4,Chance #3,110,1.10
4,Park Place,246,2.46
4,Luxury Tax,250,2.50
4,Boardwalk,360,3.60
5,Go,400,4.00
5,Meditaranean Avenue,262,2.62
5,Community Chest #1,252,2.52
5,Baltic Avenue,279,2.79
5,Income Tax,301,3.01
5,Reading Railroad,394,3.94
5,Oriental Avenue,263,2.63
5,Chance #1,126,1.26
5,Vermont Avenue,272,2.72
5,Connecticut Avenue,268,2.68
5,Jail,1849,18.49
5,St. Charles Place,281,2.81
5,Electric Company,277,2.77
5,States Avenue,256,2.56
5,Virginia Avenue,317,3.17
5,Pennsylvania Railroad,297,2.97
5,St. James Place,306,3.06
5,Community Chest #2,316,3.16
5,Tennessee Avenue,359,3.59
5,New York Avenue,372,3.72
5,Free Parking,317,3.17
5,Kentucky Avenue,319,3.19
5,Chance #2,149,1.49
5,Indiana Avenue,283,2.83
5,Illinois Avenue,414,4.14
5,B. & O. Railroad,319,3.19
5,Atlantic Avenue,307,3.07
5,Ventnor Avenue,307,3.07
5,Water Works,405,4.05
5,Marvin Gardens,304,3.04
5,Go To Jail,293,2.93
5,Pacific Avenue,317,3.17
5,North Carolina Avenue,297,2.97
5,Community Chest #3,290,2.90
5,Pennsylvania Avenue,265,2.65
5,Short Line Railroad,534,5.34
5,Chance #3,121,1.21
5,Park Place,250,2.50
5,Luxury Tax,247,2.47
5,Boardwalk,380,3.80
6,Go,416,4.16
6,Meditaranean Avenue,250,2.50
6,Community Chest #1,272,2.72
6,Baltic Avenue,268,2.68
6,Income Tax,255,2.55
6,Reading Railroad,383,3.83
6,Oriental Avenue,294,2.94
6,Chance #1,129,1.29
6,Vermont Avenue,284,2.84
6,Connecticut Avenue,246,2.46
6,Jail,1882,18.82
6,St. Charles Place,243,2.43
6,Electric Company,302,3.02
6,States Avenue,257,2.57
6,Virginia Avenue,285,2.85
6,Pennsylvania Railroad,322,3.22
6,St. James Place,370,3.70
6,Community Chest #2,296,2.96
6,Tennessee Avenue,354,3.54
6,New York Avenue,367,3.67
6,Free Parking,308,3.08
6,Kentucky Avenue,328,3.28
6,Chance #2,136,1.36
6,Indiana Avenue,318,3.18
