TABLE,PROPERTY,COUNT,PERCENT
5,Baltic Avenue,2786,2.79
5,Income Tax,2958,2.96
5,Reading Railroad,3688,3.69
5,Oriental Avenue,2693,2.69
5,Chance #1,1274,1.27
5,Vermont Avenue,2643,2.64
5,Connecticut Avenue,2765,2.77
5,Jail,11688,11.69
5,St. Charles Place,2709,2.71
5,Electric Company,2899,2.90
5,States Avenue,2694,2.69
5,Virginia Avenue,2997,3.00
5,Pennsylvania Railroad,2894,2.89
5,St. James Place,3181,3.18
5,Community Chest #2,3250,3.25
5,Tennessee Avenue,3330,3.33
5,New York Avenue,3602,3.60
5,Free Parking,3291,3.29
5,Kentucky Avenue,3232,3.23
5,Chance #2,1462,1.46
5,Indiana Avenue,3077,3.08
5,Illinois Avenue,4157,4.16
5,B. & O. Railroad,3087,3.09
5,Atlantic Avenue,3106,3.11
5,Ventnor Avenue,2991,2.99
5,Water Works,4064,4.06
5,Marvin Gardens,3010,3.01
5,Go To Jail,2963,2.96
5,Pacific Avenue,3027,3.03
5,North Carolina Avenue,2813,2.81
5,Community Chest #3,2896,2.90
5,Pennsylvania Avenue,2820,2.82
5,Short Line Railroad,5122,5.12
5,Chance #3,1132,1.13
5,Park Place,2544,2.54
5,Luxury Tax,2516,2.52
5,Boardwalk,3786,3.79
6,Go,3918,3.92
6,Meditaranean Avenue,2620,2.62
6,Community Chest #1,2546,2.55
6,Baltic Avenue,2692,2.69
6,Income Tax,2926,2.93
6,Reading Railroad,3873,3.87
6,Oriental Avenue,2697,2.70
6,Chance #1,1182,1.18
6,Vermont Avenue,2770,2.77
6,Connecticut Avenue,2669,2.67
6,Jail,11853,11.85
6,St. Charles Place,2641,2.64
6,Electric Company,2909,2.91
6,States Avenue,2691,2.69
6,Virginia Avenue,2957,2.96
6,Pennsylvania Railroad,2941,2.94
6,St. James Place,3236,3.24
6,Community Chest #2,3183,3.18
6,Tennessee Avenue,3323,3.32
6,New York Avenue,3745,3.74
6,Free Parking,3344,3.34
6,Kentucky Avenue,3154,3.15
6,Chance #2,1394,1.39
6,Indiana Avenue,3063,3.06
6,Illinois Avenue,4224,4.22
6,B. & O. Railroad,3126,3.13
6,Atlantic Avenue,3102,3.10
6,Ventnor Avenue,3001,3.00
6,Water Works,4075,4.08
6,Marvin Gardens,2969,2.97
6,Go To Jail,3078,3.08
6,Pacific Avenue,3064,3.06
6,North Carolina Avenue,2903,2.90
6,Community Chest #3,2844,2.84
6,Pennsylvania Avenue,2727,2.73
6,Short Line Railroad,4992,4.99
6,Chance #3,1204,1.20
6,Park Place,2613,2.61
6,Luxury Tax,2426,2.43
6,Boardwalk,3711,3.71
7,Go,3941,3.94
7,Meditaranean Avenue,2544,2.54
7,Community Chest #1,2519,2.52
7,Baltic Avenue,2740,2.74
7,Income Tax,2947,2.95
7,Reading Railroad,3736,3.74
7,Oriental Avenue,2760,2.76
7,Chance #1,1211,1.21
7,Vermont Avenue,2688,2.69
7,Connecticut Avenue,2715,2.71
7,Jail,11896,11.90
7,St. Charles Place,2669,2.67
7,Electric Company,2800,2.80
7,States Avenue,2769,2.77
7,Virginia Avenue,2973,2.97
7,Pennsylvania Railroad,2953,2.95
7,St. James Place,3210,3.21
7,Community Chest #2,3288,3.29
7,Tennessee Avenue,3386,3.39
7,New York Avenue,3556,3.56
7,Free Parking,3402,3.40
7,Kentucky Avenue,3113,3.11
7,Chance #2,1459,1.46
7,Indiana Avenue,3033,3.03
7,Illinois Avenue,4100,4.10
7,B. & O. Railroad,3162,3.16
7,Atlantic Avenue,3056,3.06
7,Ventnor Avenue,3095,3.09
7,Water Works,4082,4.08
7,Marvin Gardens,3004,3.00
7,Go To Jail,3017,3.02
7,Pacific Avenue,3088,3.09
7,North Carolina Avenue,2826,2.83
7,Community Chest #3,2824,2.82
7,Pennsylvania Avenue,2791,2.79
7,Short Line Railroad,4948,4.95
7,Chance #3,1104,1.10
7,Park Place,2650,2.65
7,Luxury Tax,2566,2.57
7,Boardwalk,3685,3.69
8,Go,3986,3.99
8,Meditaranean Avenue,2668,2.67
8,Community Chest #1,2558,2.56
8,Baltic Avenue,2687,2.69
8,Income Tax,2850,2.85
8,Reading Railroad,3807,3.81
8,Oriental Avenue,2708,2.71
8,Chance #1,1235,1.23
8,Vermont Avenue,2639,2.64
8,Connecticut Avenue,2779,2.78
8,Jail,11915,11.92
8,St. Charles Place,2625,2.63
8,Electric Company,2851,2.85
8,States Avenue,2696,2.70
8,Virginia Avenue,2956,2.96
8,Pennsylvania Railroad,2856,2.86
8,St. James Place,3273,3.27
8,Community Chest #2,3265,3.26
8,Tennessee Avenue,3259,3.26
8,New York Avenue,3685,3.69
8,Free Parking,3343,3.34
8,Kentucky Avenue,3223,3.22
8,Chance #2,1474,1.47
8,Indiana Avenue,3058,3.06
8,Illinois Avenue,4118,4.12
8,B. & O. Railroad,3126,3.13
8,Atlantic Avenue,3062,3.06
8,Ventnor Avenue,3074,3.07
8,Water Works,4063,4.06
8,Marvin Gardens,2970,2.97
8,Go To Jail,2985,2.99
8,Pacific Avenue,3015,3.02
8,North Carolina Avenue,2957,2.96
8,Community Chest #3,2876,2.88
8,Pennsylvania Avenue,2756,2.76
8,Short Line Railroad,4950,4.95
8,Chance #3,1145,1.15
8,Park Place,2574,2.57
8,Luxury Tax,2416,2.42
8,Boardwalk,3744,3.74
9,Go,3971,3.97
9,Meditaranean Avenue,2777,2.78
9,Community Chest #1,2588,2.59
9,Baltic Avenue,2552,2.55
9,Income Tax,2908,2.91
9,Reading Railroad,3818,3.82
9,Oriental Avenue,2674,2.67
9,Chance #1,1219,1.22
9,Vermont Avenue,2650,2.65
9,Connecticut Avenue,2724,2.72
9,Jail,11863,11.86
9,St. Charles Place,2680,2.68
9,Electric Company,2842,2.84
9,States Avenue,2800,2.80
9,Virginia Avenue,3018,3.02
9,Pennsylvania Railroad,2959,2.96
9,St. James Place,3266,3.27
9,Community Chest #2,3360,3.36
9,Tennessee Avenue,3268,3.27
9,New York Avenue,3667,3.67
9,Free Parking,3201,3.20
9,Kentucky Avenue,3096,3.10
9,Chance #2,1416,1.42
9,Indiana Avenue,3143,3.14
9,Illinois Avenue,4144,4.14
9,B. & O. Railroad,3079,3.08
9,Atlantic Avenue,3098,3.10
9,Ventnor Avenue,3076,3.08
9,Water Works,3966,3.97
9,Marvin Gardens,2959,2.96
9,Go To Jail,3094,3.09
9,Pacific Avenue,3055,3.06
9,North Carolina Avenue,2827,2.83
9,Community Chest #3,2970,2.97
9,Pennsylvania Avenue,2683,2.68
9,Short Line Railroad,4906,4.91
9,Chance #3,1110,1.11
9,Park Place,2621,2.62
9,Luxury Tax,2537,2.54
9,Boardwalk,3712,3.71
10,Go,3918,3.92
10,Meditaranean Avenue,2714,2.71
10,Community Chest #1,2533,2.53
10,Baltic Avenue,2668,2.67
10,Income Tax,2927,2.93
10,Reading Railroad,3760,3.76
10,Oriental Avenue,2720,2.72
10,Chance #1,1217,1.22
10,Vermont Avenue,2737,2.74
10,Connecticut Avenue,2680,2.68
10,Jail,11861,11.86
10,St. Charles Place,2556,2.56
10,Electric Company,2896,2.90
10,States Avenue,2675,2.67
10,Virginia Avenue,2917,2.92
10,Pennsylvania Railroad,3064,3.06
10,St. James Place,3228,3.23
10,Community Chest #2,3218,3.22
10,Tennessee Avenue,3346,3.35
10,New York Avenue,3746,3.75
10,Free Parking,3355,3.36
10,Kentucky Avenue,3101,3.10
10,Chance #2,1415,1.42
10,Indiana Avenue,3058,3.06
10,Illinois Avenue,4175,4.17
10,B. & O. Railroad,3105,3.10
10,Atlantic Avenue,3159,3.16
10,Ventnor Avenue,3104,3.10
10,Water Works,4063,4.06
10,Marvin Gardens,2950,2.95
10,Go To Jail,3004,3.00
10,Pacific Avenue,2995,3.00
10,North Carolina Avenue,2927,2.93
10,Community Chest #3,2832,2.83
10,Pennsylvania Avenue,2740,2.74
10,Short Line Railroad,4994,4.99
10,Chance #3,1148,1.15
10,Park Place,2685,2.69
10,Luxury Tax,2447,2.45
10,Boardwalk,3767,3.77
