TABLE,PROPERTY,COUNT,PERCENT
1,Go,38,3.80
1,Meditaranean Avenue,26,2.60
1,Community Chest #1,26,2.60
1,Baltic Avenue,34,3.40
1,Income Tax,28,2.80
1,Reading Railroad,39,3.90
1,Oriental Avenue,35,3.50
1,Chance #1,15,1.50
1,Vermont Avenue,31,3.10
1,Connecticut Avenue,25,2.50
1,Jail,96,9.60
1,St. Charles Place,27,2.70
1,Electric Company,25,2.50
1,States Avenue,35,3.50
1,Virginia Avenue,29,2.90
1,Pennsylvania Railroad,40,4.00
1,St. James Place,36,3.60
1,Community Chest #2,24,2.40
1,Tennessee Avenue,29,2.90
1,New York Avenue,36,3.60
1,Free Parking,33,3.30
1,Kentucky Avenue,35,3.50
1,Chance #2,13,1.30
1,Indiana Avenue,35,3.50
1,Illinois Avenue,37,3.70
1,B. & O. Railroad,30,3.00
1,Atlantic Avenue,29,2.90
1,Ventnor Avenue,30,3.00
1,Water Works,47,4.70
1,Marvin Gardens,25,2.50
1,Go To Jail,25,2.50
1,Pacific Avenue,33,3.30
1,North Carolina Avenue,30,3.00
1,Community Chest #3,33,3.30
1,Pennsylvania Avenue,24,2.40
1,Short Line Railroad,45,4.50
1,Chance #3,14,1.40
1,Park Place,23,2.30
1,Luxury Tax,23,2.30
1,Boardwalk,33,3.30
2,Go,41,4.10
2,Meditaranean Avenue,23,2.30
2,Community Chest #1,27,2.70
2,Baltic Avenue,30,3.00
2,Income Tax,32,3.20
2,Reading Railroad,48,4.80
2,Oriental Avenue,18,1.80
2,Chance #1,12,1.20
2,Vermont Avenue,33,3.30
2,Connecticut Avenue,17,1.70
2,Jail,123,12.30
2,St. Charles Place,32,3.20
2,Electric Company,31,3.10
2,States Avenue,35,3.50
2,Virginia Avenue,21,2.10
2,Pennsylvania Railroad,33,3.30
2,St. James Place,29,2.90
2,Community Chest #2,31,3.10
2,Tennessee Avenue,38,3.80
2,New York Avenue,36,3.60
2,Free Parking,43,4.30
2,Kentucky Avenue,27,2.70
2,Chance #2,11,1.10
2,Indiana Avenue,26,2.60
2,Illinois Avenue,45,4.50
2,B. & O. Railroad,40,4.00
2,Atlantic Avenue,31,3.10
2,Ventnor Avenue,29,2.90
2,Water Works,46,4.60
2,Marvin Gardens,30,3.00
2,Go To Jail,27,2.70
2,Pacific Avenue,30,3.00
2,North Carolina Avenue,28,2.80
2,Community Chest #3,28,2.80
2,Pennsylvania Avenue,25,2.50
2,Short Line Railroad,48,4.80
2,Chance #3,17,1.70
2,Park Place,25,2.50
2,Luxury Tax,24,2.40
2,Boardwalk,36,3.60
3,Go,25,2.50
3,Meditaranean Avenue,31,3.10
3,Community Chest #1,19,1.90
3,Baltic Avenue,23,2.30
3,Income Tax,27,2.70
3,Reading Railroad,44,4.40
3,Oriental Avenue,29,2.90
3,Chance #1,17,1.70
