TABLE,PROPERTY,COUNT,PERCENT
5,Baltic Avenue,26946,2.69
5,Income Tax,29108,2.91
5,Reading Railroad,38020,3.80
5,Oriental Avenue,26993,2.70
5,Chance #1,12212,1.22
5,Vermont Avenue,26883,2.69
5,Connecticut Avenue,27032,2.70
5,Jail,118384,11.84
5,St. Charles Place,26577,2.66
5,Electric Company,28458,2.85
5,States Avenue,27587,2.76
5,Virginia Avenue,29716,2.97
5,Pennsylvania Railroad,29565,2.96
5,St. James Place,32513,3.25
5,Community Chest #2,32278,3.23
5,Tennessee Avenue,33530,3.35
5,New York Avenue,36722,3.67
5,Free Parking,32844,3.28
5,Kentucky Avenue,31833,3.18
5,Chance #2,14200,1.42
5,Indiana Avenue,30820,3.08
5,Illinois Avenue,41621,4.16
5,B. & O. Railroad,31016,3.10
5,Atlantic Avenue,30711,3.07
5,Ventnor Avenue,30723,3.07
5,Water Works,40616,4.06
5,Marvin Gardens,29697,2.97
5,Go To Jail,30068,3.01
5,Pacific Avenue,30280,3.03
5,North Carolina Avenue,28559,2.86
5,Community Chest #3,28943,2.89
5,Pennsylvania Avenue,27551,2.76
5,Short Line Railroad,49978,5.00
5,Chance #3,11375,1.14
5,Park Place,25965,2.60
5,Luxury Tax,24938,2.49
5,Boardwalk,37171,3.72
6,Go,39411,3.94
6,Meditaranean Avenue,26458,2.65
6,Community Chest #1,25480,2.55
6,Baltic Avenue,27201,2.72
6,Income Tax,29060,2.91
6,Reading Railroad,37940,3.79
6,Oriental Avenue,26931,2.69
6,Chance #1,12161,1.22
6,Vermont Avenue,26829,2.68
6,Connecticut Avenue,27178,2.72
6,Jail,118145,11.81
6,St. Charles Place,26679,2.67
6,Electric Company,28896,2.89
6,States Avenue,27289,2.73
6,Virginia Avenue,29968,3.00
6,Pennsylvania Railroad,29694,2.97
6,St. James Place,32222,3.22
6,Community Chest #2,32302,3.23
6,Tennessee Avenue,33828,3.38
6,New York Avenue,36207,3.62
6,Free Parking,32997,3.30
6,Kentucky Avenue,31777,3.18
6,Chance #2,14345,1.43
6,Indiana Avenue,30731,3.07
6,Illinois Avenue,41715,4.17
6,B. & O. Railroad,31042,3.10
6,Atlantic Avenue,30553,3.06
6,Ventnor Avenue,30521,3.05
6,Water Works,40828,4.08
6,Marvin Gardens,29802,2.98
6,Go To Jail,30141,3.01
6,Pacific Avenue,30336,3.03
6,North Carolina Avenue,28421,2.84
6,Community Chest #3,28563,2.86
6,Pennsylvania Avenue,27856,2.79
6,Short Line Railroad,49795,4.98
6,Chance #3,11362,1.14
6,Park Place,26173,2.62
6,Luxury Tax,24992,2.50
6,Boardwalk,37016,3.70
7,Go,39445,3.94
7,Meditaranean Avenue,26516,2.65
7,Community Chest #1,25665,2.57
7,Baltic Avenue,27340,2.73
7,Income Tax,28925,2.89
7,Reading Railroad,38075,3.81
7,Oriental Avenue,27201,2.72
7,Chance #1,12162,1.22
7,Vermont Avenue,26875,2.69
7,Connecticut Avenue,27083,2.71
7,Jail,117895,11.79
7,St. Charles Place,26445,2.64
7,Electric Company,28821,2.88
7,States Avenue,27498,2.75
7,Virginia Avenue,29657,2.97
7,Pennsylvania Railroad,29571,2.96
7,St. James Place,32557,3.26
7,Community Chest #2,32168,3.22
7,Tennessee Avenue,33287,3.33
7,New York Avenue,36543,3.65
7,Free Parking,33217,3.32
7,Kentucky Avenue,31634,3.16
7,Chance #2,14410,1.44
7,Indiana Avenue,30778,3.08
7,Illinois Avenue,41472,4.15
7,B. & O. Railroad,30946,3.09
7,Atlantic Avenue,30533,3.05
7,Ventnor Avenue,30713,3.07
7,Water Works,40606,4.06
7,Marvin Gardens,30026,3.00
7,Go To Jail,29926,2.99
7,Pacific Avenue,30351,3.04
7,North Carolina Avenue,28694,2.87
7,Community Chest #3,28681,2.87
7,Pennsylvania Avenue,27914,2.79
7,Short Line Railroad,49841,4.98
7,Chance #3,11352,1.14
7,Park Place,26350,2.63
7,Luxury Tax,24807,2.48
7,Boardwalk,37081,3.71
8,Go,39698,3.97
8,Meditaranean Avenue,26500,2.65
8,Community Chest #1,25916,2.59
8,Baltic Avenue,27072,2.71
8,Income Tax,29228,2.92
8,Reading Railroad,37983,3.80
8,Oriental Avenue,26780,2.68
8,Chance #1,12261,1.23
8,Vermont Avenue,26928,2.69
8,Connecticut Avenue,26961,2.70
8,Jail,118469,11.85
8,St. Charles Place,26618,2.66
8,Electric Company,28543,2.85
8,States Avenue,27405,2.74
8,Virginia Avenue,29501,2.95
8,Pennsylvania Railroad,29724,2.97
8,St. James Place,32593,3.26
8,Community Chest #2,32302,3.23
8,Tennessee Avenue,33326,3.33
8,New York Avenue,36351,3.64
8,Free Parking,33309,3.33
8,Kentucky Avenue,31534,3.15
8,Chance #2,14461,1.45
8,Indiana Avenue,30828,3.08
8,Illinois Avenue,41597,4.16
8,B. & O. Railroad,31086,3.11
8,Atlantic Avenue,30530,3.05
8,Ventnor Avenue,30688,3.07
8,Water Works,40757,4.08
8,Marvin Gardens,29480,2.95
8,Go To Jail,30012,3.00
8,Pacific Avenue,30203,3.02
8,North Carolina Avenue,28768,2.88
8,Community Chest #3,28746,2.87
8,Pennsylvania Avenue,27486,2.75
8,Short Line Railroad,50136,5.01
8,Chance #3,11256,1.13
8,Park Place,25978,2.60
8,Luxury Tax,25014,2.50
8,Boardwalk,37068,3.71
9,Go,39297,3.93
9,Meditaranean Avenue,26492,2.65
9,Community Chest #1,25310,2.53
9,Baltic Avenue,27183,2.72
9,Income Tax,29247,2.92
9,Reading Railroad,38071,3.81
9,Oriental Avenue,26760,2.68
9,Chance #1,12104,1.21
9,Vermont Avenue,27255,2.73
9,Connecticut Avenue,27112,2.71
9,Jail,118114,11.81
9,St. Charles Place,26538,2.65
9,Electric Company,28715,2.87
9,States Avenue,27792,2.78
9,Virginia Avenue,29608,2.96
9,Pennsylvania Railroad,29695,2.97
9,St. James Place,32454,3.25
9,Community Chest #2,32313,3.23
9,Tennessee Avenue,33637,3.36
9,New York Avenue,36372,3.64
9,Free Parking,33147,3.31
9,Kentucky Avenue,31342,3.13
9,Chance #2,14492,1.45
9,Indiana Avenue,30909,3.09
9,Illinois Avenue,41607,4.16
9,B. & O. Railroad,31253,3.13
9,Atlantic Avenue,30486,3.05
9,Ventnor Avenue,30446,3.04
9,Water Works,40785,4.08
9,Marvin Gardens,30214,3.02
9,Go To Jail,30037,3.00
9,Pacific Avenue,30339,3.03
9,North Carolina Avenue,28614,2.86
9,Community Chest #3,28648,2.86
9,Pennsylvania Avenue,27779,2.78
9,Short Line Railroad,49997,5.00
9,Chance #3,11340,1.13
9,Park Place,26160,2.62
9,Luxury Tax,24688,2.47
9,Boardwalk,37332,3.73
10,Go,39649,3.96
10,Meditaranean Avenue,26716,2.67
10,Community Chest #1,25388,2.54
10,Baltic Avenue,26625,2.66
10,Income Tax,29108,2.91
10,Reading Railroad,38284,3.83
10,Oriental Avenue,26672,2.67
10,Chance #1,12391,1.24
10,Vermont Avenue,27163,2.72
10,Connecticut Avenue,26951,2.70
10,Jail,118435,11.84
10,St. Charles Place,26617,2.66
10,Electric Company,28705,2.87
10,States Avenue,27503,2.75
10,Virginia Avenue,29754,2.98
10,Pennsylvania Railroad,29590,2.96
10,St. James Place,32216,3.22
10,Community Chest #2,32713,3.27
10,Tennessee Avenue,33513,3.35
10,New York Avenue,36483,3.65
10,Free Parking,32919,3.29
10,Kentucky Avenue,31257,3.13
10,Chance #2,14433,1.44
10,Indiana Avenue,30948,3.09
10,Illinois Avenue,41622,4.16
10,B. & O. Railroad,31069,3.11
10,Atlantic Avenue,30637,3.06
10,Ventnor Avenue,30542,3.05
10,Water Works,40793,4.08
10,Marvin Gardens,29679,2.97
10,Go To Jail,30094,3.01
10,Pacific Avenue,30157,3.02
10,North Carolina Avenue,28813,2.88
10,Community Chest #3,28788,2.88
10,Pennsylvania Avenue,27598,2.76
10,Short Line Railroad,49975,5.00
10,Chance #3,11304,1.13
10,Park Place,26014,2.60
10,Luxury Tax,24827,2.48
10,Boardwalk,37148,3.71
